Pattern String,Pattern Category,predicted_predicate
Selling fast!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Will sell out fast!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Strong demand! Complete your order before it's too late!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Items in your cart are in VERY high-demand.,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Items in your cart are in high demand.,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Extremely high demand: expect 2-4 weeks for it to arrive (to be safe). Limit 4 per person!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
High demand,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
HIGH DEMAND,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
"An item you ordered is in high demand. No worries, we have prioritized your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
This item is in high demand.,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"Sorry, this is out of stock. You just missed it.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Items in your cart are selling fast,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Items in your cart are in high demand. But we have reserved your order.,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"ONCE IT'S GONE, IT'S GONE",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"ONCE IT'S GONE, IT'S GONE",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
SELLING FAST! GET 10% OFF THIS ITEM. ACTIVATE NOW.,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"Items in your cart are in high demand, but we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"Our items sell fast, don't miss out!",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
AN ITEM IN YOUR CART IS SELLING OUT QUICKLY,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
IN HIGH DEMAND!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"An item you ordered is in high demand. No worries, we have prioritized your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
