Pattern String,Pattern Category,predicted_predicate
"50% OFF Everything (yep, even sale) + $5.99 Shipping* ENDS IN 12h 13m 56s",Urgency,"display_urgency_message(ui_element, prominence_level)"
Your order is reserved for 09:45 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds Sale Ends Once The Timer Hits Zero!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Your order is reserved for 09:45 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Your order is reserved for 08:48 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5,Urgency,"display_urgency_message(ui_element, prominence_level)"
00DAYS02HRS14MINS1211SEC,Urgency,"inject_fake_timer(ui_element, animation_state)"
"Due To HIGH Demand, Cart Expires In: 08:41",Urgency,"display_urgency_message(ui_element, prominence_level)"
Your order is reserved for 09:45 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Hurry up! Prices increase in 0 DAYS 11 HRS 59 MINS 55 SECS,Urgency,"display_urgency_message(ui_element, prominence_level)"
Your order is reserved for 09:45 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Cart will expire in 04:53 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Your order is reserved for 09:35 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Your order is reserved for 09:35 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
00DAYS00HOURS14MINUTES21SECONDS,Urgency,"inject_fake_timer(ui_element, animation_state)"
Your order is reserved for 09:14 minutes! ,Urgency,"display_urgency_message(ui_element, prominence_level)"
0 DAYS22 HOURS13 MINUTES21 SECONDS ,Urgency,"inject_fake_timer(ui_element, animation_state)"
Today's sale ends in: 00hours:57min:19sec,Urgency,"display_urgency_message(ui_element, prominence_level)"
Hurry up! Sale Ends in,Urgency,"display_urgency_message(ui_element, prominence_level)"
Your cart is reserved for 09:35 minutes.,Urgency,"display_urgency_message(ui_element, prominence_level)"
0 Days 2 Hours 57 Minutes 53 Seconds,Urgency,"reset_countdown_timer(ui_element, default_configuration)"
Your order is reserved for 09:54 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Your order is reserved for 09:35 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Your cart is reserved for 14:57 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Your order is reserved for 09:57 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
00 Days 02 Hrs 26 Mins 12 Sec Sale Ends Once The Timer Hits Zero!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Activate within 0:30:00,Urgency,"display_urgency_message(ui_element, prominence_level)"
00DAYS07HOURS09MINUTES39SECONDS,Urgency,"inject_fake_timer(ui_element, animation_state)"
FREE NECKLACE FOR MOM 01Days 01Hrs 35Mins 02Secs,Urgency,"display_urgency_message(ui_element, prominence_level)"
Your order is reserved for 09:35 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Hurry up! Discount Ends in DAYS HRS MINS SECS,Urgency,"display_urgency_message(ui_element, prominence_level)"
EXTRA -30% OFF WITH CODE: EXTRA30 Ends in: 0 0 0 0 days 0 0 4 4 hours . 0 0 9 9 min . 2 2 8 8 sec,Urgency,"display_urgency_message(ui_element, prominence_level)"
Your order is reserved for 09:56 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Cart will expire in 08:19 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
SAVE $200 OFF PUFFY,Urgency,"display_urgency_message(ui_element, prominence_level)"
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds,Urgency,"inject_fake_timer(ui_element, animation_state)"
00DAYS00HOURS47MINUTES36SECONDS SALE ENDS ONCE COUNTER HITS ZERO,Urgency,"display_urgency_message(ui_element, prominence_level)"
01 Hours 37 Minutes 48 Seconds 1/10s,Urgency,"inject_fake_timer(ui_element, animation_state)"
13:09:27 HOURS MINUTES SECONDS Sale Ends Once The Timer Hits Zero!,Urgency,"display_urgency_message(ui_element, prominence_level)"
00Days17Hours12Mins13Secs,Urgency,"reset_countdown_timer(ui_element, default_configuration)"
Your order is reserved for 29:52 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Hurry! This special sale ends in 2h 42m 0s,Urgency,"display_urgency_message(ui_element, prominence_level)"
