단계,현재 클릭 수
회원가입 요소 탐지 및 클릭 시도 (URL: https://www.food-ology.co.kr/),1
회원가입 요소 탐지 및 클릭 시도 (URL: https://accounts.kakao.com/login/?continue=https%3A%2F%2Fkauth.kakao.com%2Foauth%2Fauthorize%3Fclient_id%3Dc580a05e88f8e5684a5ebe3cbeb29e02%26redirect_uri%3Dhttps%253A%252F%252Fwww.food-ology.co.kr%252FApi%252FMember%252FOauth2ClientCallback%252Fkakao%252F%26response_type%3Dcode%26auth_tran_id%3Dm1ozws08ngc580a05e88f8e5684a5ebe3cbeb29e02m95wuf4e%26ka%3Dsdk%252F1.43.5%2520os%252Fjavascript%2520sdk_type%252Fjavascript%2520lang%252Fko-KR%2520device%252FMacIntel%2520origin%252Fhttps%25253A%25252F%25252Fwww.food-ology.co.kr%26is_popup%3Dfalse%26through_account%3Dtrue&talk_login=hidden#login),2
❌ 회원가입 관련 요소 없음 (URL: https://accounts.kakao.com/weblogin/create_account/?continue=https%3A%2F%2Fkauth.kakao.com%2Foauth%2Fauthorize%3Fclient_id%3Dc580a05e88f8e5684a5ebe3cbeb29e02%26redirect_uri%3Dhttps%253A%252F%252Fwww.food-ology.co.kr%252FApi%252FMember%252FOauth2ClientCallback%252Fkakao%252F%26response_type%3Dcode%26auth_tran_id%3Dm1ozws08ngc580a05e88f8e5684a5ebe3cbeb29e02m95wuf4e%26ka%3Dsdk%252F1.43.5%2520os%252Fjavascript%2520sdk_type%252Fjavascript%2520lang%252Fko-KR%2520device%252FMacIntel%2520origin%252Fhttps%25253A%25252F%25252Fwww.food-ology.co.kr%26is_popup%3Dfalse%26through_account%3Dtrue&lang=ko&showHeader=false#selectVerifyMethod),2
🔐 로그인 페이지 접속,2
✅ 로그인 클릭,3
✅ 로그인 성공 확인됨,3
🔗 '마이페이지' 관련 페이지 이동 (URL: https://www.food-ology.co.kr/myshop/index.html),4
"❌ '마이페이지' 클릭 실패: Message: stale element reference: stale element not found
  (Session info: chrome=135.0.7049.41); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
0   chromedriver                        0x0000000105335f14 cxxbridge1$str$ptr + 2816404
1   chromedriver                        0x000000010532e1cc cxxbridge1$str$ptr + 2784332
2   chromedriver                        0x0000000104e7640c cxxbridge1$string$len + 93024
3   chromedriver                        0x0000000104e86d98 cxxbridge1$string$len + 161004
4   chromedriver                        0x0000000104e85e4c cxxbridge1$string$len + 157088
5   chromedriver                        0x0000000104e7c8d8 cxxbridge1$string$len + 118828
6   chromedriver                        0x0000000104e7c9e4 cxxbridge1$string$len + 119096
7   chromedriver                        0x0000000104e7b0c8 cxxbridge1$string$len + 112668
8   chromedriver                        0x0000000104e7e5d4 cxxbridge1$string$len + 126248
9   chromedriver                        0x0000000104efefec cxxbridge1$string$len + 653120
10  chromedriver                        0x0000000104efe2f4 cxxbridge1$string$len + 649800
11  chromedriver                        0x0000000104eb15bc cxxbridge1$string$len + 335120
12  chromedriver                        0x00000001052fa53c cxxbridge1$str$ptr + 2572220
13  chromedriver                        0x00000001052fd800 cxxbridge1$str$ptr + 2585216
14  chromedriver                        0x00000001052da518 cxxbridge1$str$ptr + 2441112
15  chromedriver                        0x00000001052fe078 cxxbridge1$str$ptr + 2587384
16  chromedriver                        0x00000001052cb6b0 cxxbridge1$str$ptr + 2380080
17  chromedriver                        0x000000010531e550 cxxbridge1$str$ptr + 2719696
18  chromedriver                        0x000000010531e6dc cxxbridge1$str$ptr + 2720092
19  chromedriver                        0x000000010532de18 cxxbridge1$str$ptr + 2783384
20  libsystem_pthread.dylib             0x000000018cd372e4 _pthread_start + 136
21  libsystem_pthread.dylib             0x000000018cd320fc thread_start + 8
",4
🔗 '정기' 관련 페이지 이동 (URL: https://www.food-ology.co.kr/product/regular_list.html),5
"❌ '마이페이지' 클릭 실패: Message: stale element reference: stale element not found
  (Session info: chrome=135.0.7049.41); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
0   chromedriver                        0x0000000105335f14 cxxbridge1$str$ptr + 2816404
1   chromedriver                        0x000000010532e1cc cxxbridge1$str$ptr + 2784332
2   chromedriver                        0x0000000104e7640c cxxbridge1$string$len + 93024
3   chromedriver                        0x0000000104e86d98 cxxbridge1$string$len + 161004
4   chromedriver                        0x0000000104e85e4c cxxbridge1$string$len + 157088
5   chromedriver                        0x0000000104e7c8d8 cxxbridge1$string$len + 118828
6   chromedriver                        0x0000000104e7c9e4 cxxbridge1$string$len + 119096
7   chromedriver                        0x0000000104e7b0c8 cxxbridge1$string$len + 112668
8   chromedriver                        0x0000000104e7e5d4 cxxbridge1$string$len + 126248
9   chromedriver                        0x0000000104efefec cxxbridge1$string$len + 653120
10  chromedriver                        0x0000000104efe2f4 cxxbridge1$string$len + 649800
11  chromedriver                        0x0000000104eb15bc cxxbridge1$string$len + 335120
12  chromedriver                        0x00000001052fa53c cxxbridge1$str$ptr + 2572220
13  chromedriver                        0x00000001052fd800 cxxbridge1$str$ptr + 2585216
14  chromedriver                        0x00000001052da518 cxxbridge1$str$ptr + 2441112
15  chromedriver                        0x00000001052fe078 cxxbridge1$str$ptr + 2587384
16  chromedriver                        0x00000001052cb6b0 cxxbridge1$str$ptr + 2380080
17  chromedriver                        0x000000010531e550 cxxbridge1$str$ptr + 2719696
18  chromedriver                        0x000000010531e6dc cxxbridge1$str$ptr + 2720092
19  chromedriver                        0x000000010532de18 cxxbridge1$str$ptr + 2783384
20  libsystem_pthread.dylib             0x000000018cd372e4 _pthread_start + 136
21  libsystem_pthread.dylib             0x000000018cd320fc thread_start + 8
",5
"❌ '정기' 클릭 실패: Message: stale element reference: stale element not found
  (Session info: chrome=135.0.7049.41); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
0   chromedriver                        0x0000000105335f14 cxxbridge1$str$ptr + 2816404
1   chromedriver                        0x000000010532e1cc cxxbridge1$str$ptr + 2784332
2   chromedriver                        0x0000000104e7640c cxxbridge1$string$len + 93024
3   chromedriver                        0x0000000104e86d98 cxxbridge1$string$len + 161004
4   chromedriver                        0x0000000104e85e4c cxxbridge1$string$len + 157088
5   chromedriver                        0x0000000104e7c8d8 cxxbridge1$string$len + 118828
6   chromedriver                        0x0000000104e7c9e4 cxxbridge1$string$len + 119096
7   chromedriver                        0x0000000104e7b0c8 cxxbridge1$string$len + 112668
8   chromedriver                        0x0000000104e7e5d4 cxxbridge1$string$len + 126248
9   chromedriver                        0x0000000104efefec cxxbridge1$string$len + 653120
10  chromedriver                        0x0000000104efe2f4 cxxbridge1$string$len + 649800
11  chromedriver                        0x0000000104eb15bc cxxbridge1$string$len + 335120
12  chromedriver                        0x00000001052fa53c cxxbridge1$str$ptr + 2572220
13  chromedriver                        0x00000001052fd800 cxxbridge1$str$ptr + 2585216
14  chromedriver                        0x00000001052da518 cxxbridge1$str$ptr + 2441112
15  chromedriver                        0x00000001052fe078 cxxbridge1$str$ptr + 2587384
16  chromedriver                        0x00000001052cb6b0 cxxbridge1$str$ptr + 2380080
17  chromedriver                        0x000000010531e550 cxxbridge1$str$ptr + 2719696
18  chromedriver                        0x000000010531e6dc cxxbridge1$str$ptr + 2720092
19  chromedriver                        0x000000010532de18 cxxbridge1$str$ptr + 2783384
20  libsystem_pthread.dylib             0x000000018cd372e4 _pthread_start + 136
21  libsystem_pthread.dylib             0x000000018cd320fc thread_start + 8
",5
"❌ '정기' 클릭 실패: Message: stale element reference: stale element not found
  (Session info: chrome=135.0.7049.41); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
0   chromedriver                        0x0000000105335f14 cxxbridge1$str$ptr + 2816404
1   chromedriver                        0x000000010532e1cc cxxbridge1$str$ptr + 2784332
2   chromedriver                        0x0000000104e7640c cxxbridge1$string$len + 93024
3   chromedriver                        0x0000000104e86d98 cxxbridge1$string$len + 161004
4   chromedriver                        0x0000000104e85e4c cxxbridge1$string$len + 157088
5   chromedriver                        0x0000000104e7c8d8 cxxbridge1$string$len + 118828
6   chromedriver                        0x0000000104e7c9e4 cxxbridge1$string$len + 119096
7   chromedriver                        0x0000000104e7b0c8 cxxbridge1$string$len + 112668
8   chromedriver                        0x0000000104e7e5d4 cxxbridge1$string$len + 126248
9   chromedriver                        0x0000000104efefec cxxbridge1$string$len + 653120
10  chromedriver                        0x0000000104efe2f4 cxxbridge1$string$len + 649800
11  chromedriver                        0x0000000104eb15bc cxxbridge1$string$len + 335120
12  chromedriver                        0x00000001052fa53c cxxbridge1$str$ptr + 2572220
13  chromedriver                        0x00000001052fd800 cxxbridge1$str$ptr + 2585216
14  chromedriver                        0x00000001052da518 cxxbridge1$str$ptr + 2441112
15  chromedriver                        0x00000001052fe078 cxxbridge1$str$ptr + 2587384
16  chromedriver                        0x00000001052cb6b0 cxxbridge1$str$ptr + 2380080
17  chromedriver                        0x000000010531e550 cxxbridge1$str$ptr + 2719696
18  chromedriver                        0x000000010531e6dc cxxbridge1$str$ptr + 2720092
19  chromedriver                        0x000000010532de18 cxxbridge1$str$ptr + 2783384
20  libsystem_pthread.dylib             0x000000018cd372e4 _pthread_start + 136
21  libsystem_pthread.dylib             0x000000018cd320fc thread_start + 8
",5
"❌ '정기' 클릭 실패: Message: stale element reference: stale element not found
  (Session info: chrome=135.0.7049.41); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
0   chromedriver                        0x0000000105335f14 cxxbridge1$str$ptr + 2816404
1   chromedriver                        0x000000010532e1cc cxxbridge1$str$ptr + 2784332
2   chromedriver                        0x0000000104e7640c cxxbridge1$string$len + 93024
3   chromedriver                        0x0000000104e86d98 cxxbridge1$string$len + 161004
4   chromedriver                        0x0000000104e85e4c cxxbridge1$string$len + 157088
5   chromedriver                        0x0000000104e7c8d8 cxxbridge1$string$len + 118828
6   chromedriver                        0x0000000104e7c9e4 cxxbridge1$string$len + 119096
7   chromedriver                        0x0000000104e7b0c8 cxxbridge1$string$len + 112668
8   chromedriver                        0x0000000104e7e5d4 cxxbridge1$string$len + 126248
9   chromedriver                        0x0000000104efefec cxxbridge1$string$len + 653120
10  chromedriver                        0x0000000104efe2f4 cxxbridge1$string$len + 649800
11  chromedriver                        0x0000000104eb15bc cxxbridge1$string$len + 335120
12  chromedriver                        0x00000001052fa53c cxxbridge1$str$ptr + 2572220
13  chromedriver                        0x00000001052fd800 cxxbridge1$str$ptr + 2585216
14  chromedriver                        0x00000001052da518 cxxbridge1$str$ptr + 2441112
15  chromedriver                        0x00000001052fe078 cxxbridge1$str$ptr + 2587384
16  chromedriver                        0x00000001052cb6b0 cxxbridge1$str$ptr + 2380080
17  chromedriver                        0x000000010531e550 cxxbridge1$str$ptr + 2719696
18  chromedriver                        0x000000010531e6dc cxxbridge1$str$ptr + 2720092
19  chromedriver                        0x000000010532de18 cxxbridge1$str$ptr + 2783384
20  libsystem_pthread.dylib             0x000000018cd372e4 _pthread_start + 136
21  libsystem_pthread.dylib             0x000000018cd320fc thread_start + 8
",5
🛑 더 이상 이동할 수 있는 해지 관련 요소 없음,5
